periodo_academico,orden_periodo,codigo_curso,nombre_curso,semestre_pensum,area_academica,tipo_curso_configurado,requiere_laboratorio,curso_obligatorio,curso_base,curso_bloqueante,cantidad_cursos_dependientes,nivel_bloqueo_curricular,curso_aperturado,curso_cancelado,secciones_abiertas,cupo_total_ofertado,estudiantes_asignados,estudiantes_desasignados,estudiantes_con_nota,tasa_ocupacion_cupo,estudiantes_con_acta_ordinaria,aprobados_ordinario,reprobados_ordinario,estudiantes_recuperacion,aprobados_recuperacion,perdida_definitiva,nsp_total,equivalencias_total,tasa_aprobacion_ordinaria,tasa_perdida_ordinaria,tasa_recuperacion,tasa_aprobacion_recuperacion,tasa_perdida_definitiva,indice_dependencia_recuperacion,promedio_zona_ordinaria,promedio_examen_ordinario,promedio_nota_total_ordinario,curso_abierto_periodo_siguiente,curso_abierto_en_periodo_posterior_2024,estudiantes_sin_oportunidad_inmediata,estudiantes_en_riesgo_retraso_curricular
S1,1,2800,Introduccion a la Programacion y Computacion 2,4,Desarrollo de Software,mixto,Si,Si,Si,Si,5,alto,Si,No,1,30,21,1,20,0.7,19,9,9,7,3,7,1,1,0.47368421052631576,0.47368421052631576,0.3684210526315789,0.42857142857142855,0.35,0.23076923076923078,45.0,15.055555555555555,59.26315789473684,False,True,7,7
S1,1,2802,Analisis Probabilistico,5,Metodologia de Sistemas,mixto,No,Si,Si,Si,2,medio,Si,No,1,45,26,1,25,0.5777777777777777,25,15,9,5,3,7,1,0,0.6,0.36,0.2,0.6,0.28,0.16666666666666666,47.4,17.875,64.56,False,False,7,7
S1,1,2803,Organizacion de Lenguajes y Compiladores 1,5,Ciencias de la Computacion,mixto,Si,Si,Si,Si,5,alto,Si,No,1,20,15,2,13,0.75,12,7,5,5,3,2,0,1,0.5833333333333334,0.4166666666666667,0.4166666666666667,0.6,0.15384615384615385,0.2727272727272727,48.75,14.083333333333334,62.833333333333336,False,True,2,2
S1,1,2804,Organizacion Computacional,5,Ciencias de la Computacion,mixto,No,Si,No,No,0,bajo,Si,No,1,30,18,0,18,0.6,18,11,6,4,2,5,1,0,0.6111111111111112,0.3333333333333333,0.2222222222222222,0.5,0.2777777777777778,0.15384615384615385,51.388888888888886,17.705882352941178,68.11111111111111,False,False,5,0
S1,1,2805,Estructura de Datos,5,Desarrollo de Software,teorico,No,Si,Si,Si,3,medio,Si,No,1,30,19,1,18,0.6333333333333333,18,9,8,4,2,7,1,0,0.5,0.4444444444444444,0.2222222222222222,0.5,0.3888888888888889,0.18181818181818182,50.77777777777778,13.235294117647058,63.27777777777778,False,False,7,7
S1,1,2807,Practica Inicial TI,5,EPS,practico,No,Si,Si,Si,2,medio,Si,No,1,30,22,3,19,0.7333333333333333,19,11,7,4,3,5,1,0,0.5789473684210527,0.3684210526315789,0.21052631578947367,0.75,0.2631578947368421,0.21428571428571427,44.10526315789474,15.777777777777779,59.05263157894737,False,False,5,5
S1,1,2813,Teoria de Sistemas 2,7,Metodologia de Sistemas,mixto,No,Si,Si,Si,4,alto,Si,No,1,45,28,2,26,0.6222222222222222,26,16,9,7,3,7,1,0,0.6153846153846154,0.34615384615384615,0.2692307692307692,0.42857142857142855,0.2692307692307692,0.15789473684210525,49.26923076923077,16.6,65.23076923076923,False,False,7,7
S1,1,2814,Sistemas Operativos 1,7,Ciencias de la Computacion,mixto,No,Si,Si,Si,2,medio,Si,No,1,45,27,1,26,0.6,26,13,11,6,3,10,2,0,0.5,0.4230769230769231,0.23076923076923078,0.5,0.38461538461538464,0.1875,45.84615384615385,15.291666666666666,59.96153846153846,False,False,10,10
S1,1,2815,Arquitectura de Computadores y Ensambladores 2,7,Ciencias de la Computacion,mixto,No,Si,No,No,0,bajo,Si,No,1,20,13,0,13,0.65,13,8,5,3,2,3,0,0,0.6153846153846154,0.38461538461538464,0.23076923076923078,0.6666666666666666,0.23076923076923078,0.2,46.15384615384615,16.307692307692307,62.46153846153846,False,False,3,0
S1,1,2816,Redes de Computadoras 1,7,Ciencias de la Computacion,mixto,Si,Si,No,Si,1,medio,Si,No,1,45,27,3,24,0.6,24,12,10,8,3,9,2,0,0.5,0.4166666666666667,0.3333333333333333,0.375,0.375,0.2,47.416666666666664,15.090909090909092,61.25,False,True,9,9
S1,1,2817,Sistemas de Bases de Datos 1,7,Desarrollo de Software,mixto,No,Si,Si,Si,2,medio,Si,No,1,45,30,2,28,0.6666666666666666,28,14,12,10,3,11,2,0,0.5,0.42857142857142855,0.35714285714285715,0.3,0.39285714285714285,0.17647058823529413,47.25,15.615384615384615,61.75,False,False,11,11
S1,1,2818,Practica Intemedia TI,7,EPS,practico,No,Si,No,Si,1,medio,Si,No,1,45,28,1,27,0.6222222222222222,27,16,10,7,3,8,1,0,0.5925925925925926,0.37037037037037035,0.25925925925925924,0.42857142857142855,0.2962962962962963,0.15789473684210525,53.666666666666664,12.5,65.70370370370371,False,False,8,8
S1,1,2825,Sistemas Organizacionales y Gerenciales 1,9,Metodologia de Sistemas,mixto,No,Si,No,Si,1,medio,Si,No,1,20,15,1,14,0.75,14,9,5,4,2,3,0,0,0.6428571428571429,0.35714285714285715,0.2857142857142857,0.5,0.21428571428571427,0.18181818181818182,47.285714285714285,17.5,64.78571428571429,False,False,3,3
S1,1,2826,Inteligencia Artificial 1,9,Ciencias de la Computacion,teorico,No,Si,No,Si,1,medio,Si,No,1,20,13,0,13,0.65,13,8,5,4,2,3,0,0,0.6153846153846154,0.38461538461538464,0.3076923076923077,0.5,0.23076923076923078,0.2,51.69230769230769,13.615384615384615,65.3076923076923,False,False,3,3
S1,1,2827,Analisis y Diseño de Sistemas 2,9,Desarrollo de Software,mixto,No,Si,Si,Si,3,medio,Si,No,1,20,13,2,11,0.65,11,5,5,5,3,3,1,0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.6,0.2727272727272727,0.375,49.27272727272727,12.5,60.63636363636363,False,False,3,3
S1,1,2828,Seminario de Sistemas 2,9,Desarrollo de Software,practico,No,Si,No,Si,1,medio,Si,No,1,20,7,0,7,0.35,5,3,2,0,0,2,0,2,0.6,0.4,0.0,,0.2857142857142857,0.0,51.4,19.0,70.4,False,False,2,2
S1,1,2829,Practica Final,9,EPS,practico,No,Si,No,No,0,bajo,Si,No,1,20,5,0,5,0.25,5,3,2,0,0,2,0,0,0.6,0.4,0.0,,0.4,0.0,48.8,16.6,65.4,False,True,2,0
S1,1,290,Matematica Intermedia 1,3,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,5,alto,Si,No,4,130,81,2,79,0.6230769230769231,79,50,26,20,9,20,3,0,0.6329113924050633,0.3291139240506329,0.25316455696202533,0.45,0.25316455696202533,0.15254237288135594,49.265822784810126,15.460526315789474,64.13924050632912,True,True,0,0
S1,1,291,Matematica Intermedia 2,4,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,2,medio,Si,No,2,50,27,2,25,0.54,25,16,8,6,3,6,1,0,0.64,0.32,0.24,0.5,0.24,0.15789473684210525,47.76,17.625,64.68,True,True,0,0
S1,1,292,Matematica Intermedia 3,4,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,3,medio,Si,No,2,40,25,3,22,0.625,22,14,8,5,2,6,0,0,0.6363636363636364,0.36363636363636365,0.22727272727272727,0.4,0.2727272727272727,0.125,51.59090909090909,12.045454545454545,63.63636363636363,True,True,0,0
S1,1,670,Ingenieria Electrica 1,6,Ciencias Basicas y Complementarias,teorico,No,No,No,No,0,bajo,Si,No,1,20,9,0,9,0.45,9,6,3,1,1,2,0,0,0.6666666666666666,0.3333333333333333,0.1111111111111111,1.0,0.2222222222222222,0.14285714285714285,53.333333333333336,11.444444444444445,64.77777777777777,False,True,2,0
S1,1,673,Matematica Aplicada 1,5,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,3,medio,Si,No,1,20,7,0,7,0.35,7,4,3,3,1,2,0,0,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.2,44.0,17.142857142857142,61.142857142857146,True,True,0,0
S1,1,674,Matematica Aplicada 3,5,Ciencias Basicas y Complementarias,teorico,No,Si,No,Si,1,medio,Si,No,1,20,10,1,9,0.5,9,6,3,3,1,2,0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.14285714285714285,47.666666666666664,15.777777777777779,63.44444444444444,True,True,0,0
S1,1,685,Investigacion de Operaciones 1,6,Metodologia de Sistemas,teorico,No,Si,Si,Si,3,medio,Si,No,1,20,10,2,8,0.5,8,5,3,1,1,2,0,0,0.625,0.375,0.125,1.0,0.25,0.16666666666666666,53.375,10.875,64.25,True,True,0,0
S1,1,690,Ingenieria Economica 1,8,Ciencias Basicas y Complementarias,teorico,No,No,Si,Si,2,medio,Si,No,1,30,22,2,20,0.7333333333333333,20,13,6,5,3,4,1,0,0.65,0.3,0.25,0.6,0.2,0.1875,47.0,18.105263157894736,64.2,True,True,0,0
S1,1,694,Contabilidad 1,5,Ciencias Basicas y Complementarias,teorico,No,No,No,Si,1,medio,Si,No,1,20,9,0,9,0.45,9,6,3,3,1,2,0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.14285714285714285,48.44444444444444,15.444444444444445,63.888888888888886,False,True,2,2
S1,1,779,Contabilidad 2,6,Ciencias Basicas y Complementarias,teorico,No,No,No,Si,1,medio,Si,No,1,20,1,0,1,0.05,1,1,0,0,0,0,0,0,1.0,0.0,0.0,,0.0,0.0,64.0,4.0,68.0,False,True,0,0
S1,1,795,Investigacion de Operaciones 2,7,Metodologia de Sistemas,teorico,No,Si,No,Si,1,medio,Si,No,1,20,12,0,12,0.6,12,8,4,3,1,3,0,0,0.6666666666666666,0.3333333333333333,0.25,0.3333333333333333,0.25,0.1111111111111111,49.333333333333336,13.583333333333334,62.916666666666664,False,True,3,3
S1,1,909,Preparacion y Evaluacion de Proyectos 1,10,Ciencias Basicas y Complementarias,practico,No,No,No,No,0,bajo,Si,No,1,20,8,0,8,0.4,8,5,3,2,1,2,0,0,0.625,0.375,0.25,0.5,0.25,0.16666666666666666,50.375,16.875,67.25,True,True,0,0
S1,1,912,Planeamiento,10,Ciencias Basicas y Complementarias,teorico,No,No,No,No,0,bajo,Si,No,1,20,1,0,1,0.05,1,1,0,0,0,0,0,0,1.0,0.0,0.0,,0.0,0.0,48.0,14.0,62.0,True,True,0,0
S1,1,919,Contabilidad 3,7,Ciencias Basicas y Complementarias,teorico,No,No,No,No,0,bajo,Si,No,1,20,8,2,6,0.4,6,4,2,0,0,2,0,0,0.6666666666666666,0.3333333333333333,0.0,,0.3333333333333333,0.0,46.166666666666664,15.5,61.666666666666664,False,True,2,0
S1,1,943,Administracion de Empresas 1,7,Desarrollo de Software,teorico,No,No,No,No,0,bajo,Si,No,1,20,1,0,1,0.05,1,1,0,0,0,0,0,0,1.0,0.0,0.0,,0.0,0.0,59.0,5.0,64.0,False,True,0,0
S1,1,949,Estadistica 1,4,Metodologia de Sistemas,teorico,No,Si,Si,Si,6,alto,Si,No,1,45,29,1,28,0.6444444444444445,28,17,10,8,3,8,1,0,0.6071428571428571,0.35714285714285715,0.2857142857142857,0.375,0.2857142857142857,0.15,47.464285714285715,15.518518518518519,62.42857142857143,True,True,0,0
S1,1,950,Estadistica 2,7,Metodologia de Sistemas,teorico,No,No,No,No,0,bajo,Si,No,1,20,5,0,5,0.25,5,3,2,1,0,2,0,0,0.6,0.4,0.2,0.0,0.4,0.0,49.0,14.2,63.2,False,True,2,0
V1,2,094,Ecologia,5,Ciencias Basicas y Complementarias,teorico,No,No,No,Si,1,medio,Si,No,1,20,6,0,6,0.3,6,4,2,0,0,2,0,0,0.6666666666666666,0.3333333333333333,0.0,,0.3333333333333333,0.0,51.833333333333336,13.833333333333334,65.66666666666667,True,True,0,0
V1,2,146,Fisica 1,3,Ciencias Basicas y Complementarias,teorico,Si,Si,No,Si,1,medio,Si,No,1,30,16,2,14,0.5333333333333333,14,8,5,0,0,6,1,0,0.5714285714285714,0.35714285714285715,0.0,,0.42857142857142855,0.0,46.5,18.307692307692307,63.5,True,True,0,0
V1,2,147,Fisica 2,4,Ciencias Basicas y Complementarias,teorico,Si,Si,Si,Si,3,medio,Si,No,2,40,24,1,23,0.6,23,14,7,0,0,9,2,0,0.6086956521739131,0.30434782608695654,0.0,,0.391304347826087,0.0,47.130434782608695,15.095238095238095,60.91304347826087,True,True,0,0
V1,2,169,Matematica Basica 1,1,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,2,medio,Si,No,3,90,64,1,63,0.7111111111111111,63,40,20,0,0,23,3,0,0.6349206349206349,0.31746031746031744,0.0,,0.36507936507936506,0.0,48.80952380952381,15.85,63.904761904761905,True,True,0,0
V1,2,170,Matematica Basica 2,2,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,6,alto,Si,No,1,30,18,0,18,0.6,18,11,6,0,0,7,1,0,0.6111111111111112,0.3333333333333333,0.0,,0.3888888888888889,0.0,50.27777777777778,16.058823529411764,65.44444444444444,True,True,0,0
V1,2,2835,Modelacion y Simulacion 2,10,Metodologia de Sistemas,teorico,No,Si,No,No,0,bajo,Si,No,1,20,9,3,6,0.45,6,3,2,0,0,3,1,0,0.5,0.3333333333333333,0.0,,0.5,0.0,44.666666666666664,16.2,58.166666666666664,False,False,3,0
V1,2,2837,Seminario de Investigacion,10,Ciencias Basicas y Complementarias,practico,No,Si,No,No,0,bajo,Si,No,1,20,8,0,8,0.4,8,5,2,0,0,3,1,0,0.625,0.25,0.0,,0.375,0.0,50.625,14.0,62.875,True,True,0,0
V1,2,290,Matematica Intermedia 1,3,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,5,alto,Si,No,2,60,36,1,35,0.6,35,21,12,0,0,14,2,0,0.6,0.34285714285714286,0.0,,0.4,0.0,49.0,17.727272727272727,65.71428571428571,True,True,0,0
V1,2,291,Matematica Intermedia 2,4,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,2,medio,Si,No,1,20,12,0,12,0.6,12,8,3,0,0,4,1,0,0.6666666666666666,0.25,0.0,,0.3333333333333333,0.0,51.166666666666664,13.727272727272727,63.75,True,True,0,0
V1,2,292,Matematica Intermedia 3,4,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,3,medio,Si,No,1,20,10,0,10,0.5,10,6,3,0,0,4,1,0,0.6,0.3,0.0,,0.4,0.0,46.3,15.11111111111111,59.9,True,True,0,0
V1,2,673,Matematica Aplicada 1,5,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,3,medio,Si,No,1,20,8,0,8,0.4,8,5,3,0,0,3,0,0,0.625,0.375,0.0,,0.375,0.0,50.0,9.875,59.875,True,True,0,0
V1,2,674,Matematica Aplicada 3,5,Ciencias Basicas y Complementarias,teorico,No,Si,No,Si,1,medio,Si,No,1,20,8,0,8,0.4,8,5,3,0,0,3,0,0,0.625,0.375,0.0,,0.375,0.0,46.875,15.0,61.875,True,True,0,0
V1,2,685,Investigacion de Operaciones 1,6,Metodologia de Sistemas,teorico,No,Si,Si,Si,3,medio,Si,No,1,20,8,0,8,0.4,8,5,3,0,0,3,0,0,0.625,0.375,0.0,,0.375,0.0,55.625,18.0,73.625,True,True,0,0
V1,2,690,Ingenieria Economica 1,8,Ciencias Basicas y Complementarias,teorico,No,No,Si,Si,2,medio,Si,No,1,20,10,1,9,0.5,9,6,3,0,0,3,0,0,0.6666666666666666,0.3333333333333333,0.0,,0.3333333333333333,0.0,47.22222222222222,16.88888888888889,64.11111111111111,True,True,0,0
V1,2,909,Preparacion y Evaluacion de Proyectos 1,10,Ciencias Basicas y Complementarias,practico,No,No,No,No,0,bajo,Si,No,1,20,6,1,5,0.3,5,3,2,0,0,2,0,0,0.6,0.4,0.0,,0.4,0.0,55.8,7.6,63.4,False,True,2,0
V1,2,912,Planeamiento,10,Ciencias Basicas y Complementarias,teorico,No,No,No,No,0,bajo,Si,No,1,20,4,0,4,0.2,4,3,1,0,0,1,0,0,0.75,0.25,0.0,,0.25,0.0,46.75,19.0,65.75,True,True,0,0
V1,2,949,Estadistica 1,4,Metodologia de Sistemas,teorico,No,Si,Si,Si,6,alto,Si,No,1,20,12,0,12,0.6,12,7,4,0,0,5,1,0,0.5833333333333334,0.3333333333333333,0.0,,0.4166666666666667,0.0,51.0,13.636363636363637,63.5,True,True,0,0
S2,3,029,Social Humanistica 2,2,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,2,medio,Si,No,4,80,35,3,32,0.4375,32,21,11,6,3,8,0,0,0.65625,0.34375,0.1875,0.5,0.25,0.125,45.46875,17.90625,63.375,False,False,8,8
S2,3,072,Fisica Basica,2,Ciencias Basicas y Complementarias,teorico,Si,Si,No,Si,1,medio,Si,No,3,95,56,2,54,0.5894736842105263,54,33,19,15,6,15,2,0,0.6111111111111112,0.35185185185185186,0.2777777777777778,0.4,0.2777777777777778,0.15384615384615385,48.629629629629626,14.596153846153847,62.68518518518518,False,False,15,15
S2,3,085,Logica,4,Ciencias Basicas y Complementarias,teorico,No,No,No,No,0,bajo,Si,No,1,45,28,1,27,0.6222222222222222,27,17,9,7,3,7,1,0,0.6296296296296297,0.3333333333333333,0.25925925925925924,0.42857142857142855,0.25925925925925924,0.15,52.22222222222222,15.423076923076923,67.07407407407408,False,False,7,0
S2,3,094,Ecologia,5,Ciencias Basicas y Complementarias,teorico,No,No,No,Si,1,medio,Si,No,1,20,8,0,8,0.4,8,5,3,2,1,2,0,0,0.625,0.375,0.25,0.5,0.25,0.16666666666666666,49.0,15.375,64.375,True,True,0,0
S2,3,146,Fisica 1,3,Ciencias Basicas y Complementarias,teorico,Si,Si,No,Si,1,medio,Si,No,3,70,45,4,41,0.6428571428571429,41,24,15,9,5,12,2,0,0.5853658536585366,0.36585365853658536,0.21951219512195122,0.5555555555555556,0.2926829268292683,0.1724137931034483,50.21951219512195,14.948717948717949,64.4390243902439,True,True,0,0
S2,3,147,Fisica 2,4,Ciencias Basicas y Complementarias,teorico,Si,Si,Si,Si,3,medio,Si,No,2,50,34,0,34,0.68,34,20,12,11,4,10,2,0,0.5882352941176471,0.35294117647058826,0.3235294117647059,0.36363636363636365,0.29411764705882354,0.16666666666666666,47.294117647058826,15.4375,61.8235294117647,True,True,0,0
S2,3,169,Matematica Basica 1,1,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,2,medio,Si,No,4,115,80,1,79,0.6956521739130435,79,49,27,18,10,20,3,0,0.620253164556962,0.34177215189873417,0.22784810126582278,0.5555555555555556,0.25316455696202533,0.1694915254237288,48.45569620253165,16.460526315789473,64.29113924050633,True,True,0,0
S2,3,170,Matematica Basica 2,2,Ciencias Basicas y Complementarias,teorico,No,Si,Si,Si,6,alto,Si,No,3,80,52,1,51,0.65,51,32,17,12,6,13,2,0,0.6274509803921569,0.3333333333333333,0.23529411764705882,0.5,0.2549019607843137,0.15789473684210525,48.94117647058823,16.408163265306122,64.70588235294117,True,True,0,0
S2,3,178,Deportes 2,2,Ciencias Basicas y Complementarias,teorico,No,No,No,No,0,bajo,Si,No,3,60,10,1,9,0.16666666666666666,9,6,3,2,0,3,0,0,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,0.0,44.55555555555556,18.444444444444443,63.0,False,False,3,0
S2,3,216,Quimica 1,1,Ciencias Basicas y Complementarias,teorico,Si,Si,No,Si,1,medio,Si,No,4,80,20,0,20,0.25,20,12,8,6,1,7,0,0,0.6,0.4,0.3,0.16666666666666666,0.35,0.07692307692307693,51.45,14.7,66.15,False,False,7,7
S2,3,2570,Etica Profesional,9,Ciencias Basicas y Complementarias,teorico,No,No,No,No,0,bajo,Si,No,1,20,12,1,11,0.6,11,7,4,1,1,3,0,0,0.6363636363636364,0.36363636363636365,0.09090909090909091,1.0,0.2727272727272727,0.125,51.81818181818182,10.454545454545455,62.27272727272727,False,False,3,0
S2,3,2666,Orientacion y Liderazgo,1,Ciencias Basicas y Complementarias,teorico,No,Si,No,No,0,bajo,Si,No,1,20,10,0,10,0.5,10,6,4,4,1,3,0,0,0.6,0.4,0.4,0.25,0.3,0.14285714285714285,48.8,13.5,62.3,False,False,3,0
S2,3,2667,Tecnicas de Investigacion y Estudio,2,Ciencias Basicas y Complementarias,teorico,No,Si,No,Si,1,medio,Si,No,4,90,45,3,42,0.5,42,27,14,11,5,10,1,0,0.6428571428571429,0.3333333333333333,0.2619047619047619,0.45454545454545453,0.23809523809523808,0.15625,47.857142857142854,17.073170731707318,64.52380952380952,False,False,10,10
S2,3,2796,Introduccion a la Programacion y Computacion 1,3,Desarrollo de Software,mixto,Si,Si,Si,Si,4,alto,Si,No,1,60,58,1,57,0.9666666666666667,56,24,27,16,7,25,5,1,0.42857142857142855,0.48214285714285715,0.2857142857142857,0.4375,0.43859649122807015,0.21875,47.357142857142854,12.941176470588236,59.142857142857146,False,False,25,25
S2,3,2798,Lenguajes Formales y de Programacion,4,Ciencias de la Computacion,mixto,Si,Si,Si,Si,3,medio,Si,No,1,45,36,2,34,0.8,34,17,15,12,4,13,2,0,0.5,0.4411764705882353,0.35294117647058826,0.3333333333333333,0.38235294117647056,0.19047619047619047,48.44117647058823,14.3125,61.911764705882355,False,False,13,13
